# Selection     : all
# Cells         : 1000
# Volume        : 1.00000000e+00
# Time          	max(p)	max(U)
4.65            	1.68468132e+00	(1.45304786e+00 1.13154489e-01 0.00000000e+00)
4.7             	1.68439540e+00	(1.45367577e+00 1.13154489e-01 0.00000000e+00)
4.75            	1.68412513e+00	(1.45428129e+00 1.13154489e-01 0.00000000e+00)
4.8             	1.68386970e+00	(1.45486521e+00 1.13154490e-01 0.00000000e+00)
4.85            	1.68362838e+00	(1.45542829e+00 1.13154490e-01 0.00000000e+00)
4.9             	1.68340044e+00	(1.45597127e+00 1.13154490e-01 0.00000000e+00)
4.95            	1.68318522e+00	(1.45649486e+00 1.13154490e-01 0.00000000e+00)
5               	1.68298206e+00	(1.45699975e+00 1.13154490e-01 0.00000000e+00)
5.05            	1.68279036e+00	(1.45748660e+00 1.13154490e-01 0.00000000e+00)
5.1             	1.68260954e+00	(1.45795605e+00 1.13154490e-01 0.00000000e+00)
5.15            	1.68243904e+00	(1.45840872e+00 1.13154490e-01 0.00000000e+00)
5.2             	1.68227834e+00	(1.45884521e+00 1.13154490e-01 0.00000000e+00)
5.25            	1.68212694e+00	(1.45926609e+00 1.13154490e-01 0.00000000e+00)
5.3             	1.68198437e+00	(1.45967192e+00 1.13154490e-01 0.00000000e+00)
5.35            	1.68185016e+00	(1.46006323e+00 1.13154490e-01 0.00000000e+00)
5.4             	1.68172391e+00	(1.46044054e+00 1.13154490e-01 0.00000000e+00)
5.45            	1.68160422e+00	(1.46080433e+00 1.13154490e-01 0.00000000e+00)
5.5             	1.68149306e+00	(1.46115512e+00 1.13154490e-01 0.00000000e+00)
5.55            	1.68138834e+00	(1.46149336e+00 1.13154490e-01 0.00000000e+00)
5.6             	1.68128999e+00	(1.46181948e+00 1.13154490e-01 0.00000000e+00)
5.65            	1.68119775e+00	(1.46213392e+00 1.13154490e-01 0.00000000e+00)
5.7             	1.68111128e+00	(1.46243711e+00 1.13154490e-01 0.00000000e+00)
5.75            	1.68103028e+00	(1.46272943e+00 1.13154490e-01 0.00000000e+00)
5.8             	1.68095448e+00	(1.46301128e+00 1.13154490e-01 0.00000000e+00)
5.85            	1.68088358e+00	(1.46328304e+00 1.13154490e-01 0.00000000e+00)
5.9             	1.68081734e+00	(1.46354505e+00 1.13154490e-01 0.00000000e+00)
5.95            	1.68075549e+00	(1.46379768e+00 1.13154490e-01 0.00000000e+00)
6               	1.68069782e+00	(1.46404126e+00 1.13154490e-01 0.00000000e+00)
6.05            	1.68064410e+00	(1.46427610e+00 1.13154490e-01 0.00000000e+00)
6.1             	1.68059411e+00	(1.46450253e+00 1.13154490e-01 0.00000000e+00)
6.15            	1.68054765e+00	(1.46472084e+00 1.13154490e-01 0.00000000e+00)
6.2             	1.68050453e+00	(1.46493133e+00 1.13154490e-01 0.00000000e+00)
6.25            	1.68046458e+00	(1.46513426e+00 1.13154490e-01 0.00000000e+00)
6.3             	1.68042760e+00	(1.46532992e+00 1.13154490e-01 0.00000000e+00)
6.35            	1.68039344e+00	(1.46551857e+00 1.13154490e-01 0.00000000e+00)
6.4             	1.68036195e+00	(1.46570044e+00 1.13154490e-01 0.00000000e+00)
6.45            	1.68033297e+00	(1.46587579e+00 1.13154490e-01 0.00000000e+00)
6.5             	1.68030383e+00	(1.46604476e+00 1.13154490e-01 0.00000000e+00)
6.55            	1.68028141e+00	(1.46620774e+00 1.13154490e-01 0.00000000e+00)
6.6             	1.68025962e+00	(1.46636489e+00 1.13154490e-01 0.00000000e+00)
6.65            	1.68023875e+00	(1.46651636e+00 1.13154490e-01 0.00000000e+00)
6.7             	1.68022076e+00	(1.46666255e+00 1.13154490e-01 0.00000000e+00)
6.75            	1.68020421e+00	(1.46680334e+00 1.13154490e-01 0.00000000e+00)
6.8             	1.68018899e+00	(1.46693912e+00 1.13154490e-01 0.00000000e+00)
6.85            	1.68017583e+00	(1.46707011e+00 1.13154490e-01 0.00000000e+00)
6.9             	1.68016391e+00	(1.46719621e+00 1.13154490e-01 0.00000000e+00)
6.95            	1.68015313e+00	(1.46731794e+00 1.13154490e-01 0.00000000e+00)
7               	1.68014411e+00	(1.46743526e+00 1.13154490e-01 0.00000000e+00)
7.05            	1.68013607e+00	(1.46754818e+00 1.13154490e-01 0.00000000e+00)
7.1             	1.68012869e+00	(1.46765736e+00 1.13154490e-01 0.00000000e+00)
7.15            	1.68012366e+00	(1.46776229e+00 1.13154490e-01 0.00000000e+00)
7.2             	1.68011797e+00	(1.46786351e+00 1.13154490e-01 0.00000000e+00)
7.25            	1.68011426e+00	(1.46796134e+00 1.13154490e-01 0.00000000e+00)
7.3             	1.68011154e+00	(1.46805532e+00 1.13154490e-01 0.00000000e+00)
7.35            	1.68010893e+00	(1.46814584e+00 1.13154490e-01 0.00000000e+00)
7.4             	1.68010722e+00	(1.46823325e+00 1.13154490e-01 0.00000000e+00)
7.45            	1.68010669e+00	(1.46831738e+00 1.13154490e-01 0.00000000e+00)
7.5             	1.68010616e+00	(1.46839857e+00 1.13154490e-01 0.00000000e+00)
7.55            	1.68010687e+00	(1.46847665e+00 1.13154490e-01 0.00000000e+00)
7.6             	1.68010749e+00	(1.46855195e+00 1.13154490e-01 0.00000000e+00)
7.65            	1.68010916e+00	(1.46862453e+00 1.13154490e-01 0.00000000e+00)
7.7             	1.68011079e+00	(1.46869435e+00 1.13154490e-01 0.00000000e+00)
7.75            	1.68011391e+00	(1.46876148e+00 1.13154490e-01 0.00000000e+00)
7.8             	1.68011521e+00	(1.46882624e+00 1.13154490e-01 0.00000000e+00)
7.85            	1.68011995e+00	(1.46888851e+00 1.13154490e-01 0.00000000e+00)
7.9             	1.68012229e+00	(1.46894853e+00 1.13154490e-01 0.00000000e+00)
7.95            	1.68012629e+00	(1.46900615e+00 1.13154490e-01 0.00000000e+00)
8               	1.68013001e+00	(1.46906167e+00 1.13154490e-01 0.00000000e+00)
8.05            	1.68013423e+00	(1.46911509e+00 1.13154490e-01 0.00000000e+00)
8.1             	1.68013878e+00	(1.46916625e+00 1.13154490e-01 0.00000000e+00)
8.15            	1.68014295e+00	(1.46921567e+00 1.13154490e-01 0.00000000e+00)
8.2             	1.68014793e+00	(1.46926299e+00 1.13154490e-01 0.00000000e+00)
8.25            	1.68015287e+00	(1.46930837e+00 1.13154490e-01 0.00000000e+00)
